{'SQL:  select count(*) from singer\n', 'Question 1:  How many singers do we have ? ||| concert_singer\n'}
{'Question 235:  Which airlines have a flight with source airport AHD ? ||| flight_2\n', 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "ahd"\n'}
{'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.destairport  =  "ahd"\n', "Question 236:  What are airlines that have flights arriving at airport 'AHD ' ? ||| flight_2\n"}
{'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.destairport  =  "ahd"\n', 'Question 237:  Which airlines have a flight with destination airport AHD ? ||| flight_2\n'}
{"Question 238:  Find all airlines that have flights from both airports 'APG ' and 'CVO ' . ||| flight_2\n", 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "apg" intersect select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "cvo"\n'}
{'Question 239:  Which airlines have departing flights from both APG and CVO airports ? ||| flight_2\n', 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "apg" intersect select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "cvo"\n'}
{'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "cvo" except select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "apg"\n', "Question 240:  Find all airlines that have flights from airport 'CVO ' but not from 'APG ' . ||| flight_2\n"}
{'Question 241:  Which airlines have departures from CVO but not from APG airports ? ||| flight_2\n', 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "cvo" except select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline where t2.sourceairport  =  "apg"\n'}
{'Question 242:  Find all airlines that have at least 10 flights . ||| flight_2\n', 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline group by t1.airline having count(*)  >  10\n'}
{'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline group by t1.airline having count(*)  >  10\n', 'Question 243:  Which airlines have at least 10 flights ? ||| flight_2\n'}
{'Question 244:  Find all airlines that have fewer than 200 flights . ||| flight_2\n', 'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline group by t1.airline having count(*)  <  200\n'}
{'SQL:  select t1.airline from airlines as t1 join flights as t2 on t1.uid  =  t2.airline group by t1.airline having count(*)  <  200\n', 'Question 245:  Which airlines have less than 200 flights ? ||| flight_2\n'}
{'SQL:  select t1.flightno from flights as t1 join airlines as t2 on t2.uid  =  t1.airline where t2.airline  =  "united airlines"\n', "Question 246:  What are flight numbers of Airline `` United Airlines '' ? ||| flight_2\n"}
{'Question 247:  Which flight numbers correspond to United Airlines flights ? ||| flight_2\n', 'SQL:  select t1.flightno from flights as t1 join airlines as t2 on t2.uid  =  t1.airline where t2.airline  =  "united airlines"\n'}
{"Question 248:  What are flight numbers of flights departing from Airport `` APG '' ? ||| flight_2\n", 'SQL:  select flightno from flights where sourceairport  =  "apg"\n'}
{'SQL:  select flightno from flights where sourceairport  =  "apg"\n', 'Question 249:  Give the flight numbers of flights leaving from APG . ||| flight_2\n'}
{'SQL:  select flightno from flights where destairport  =  "apg"\n', "Question 250:  What are flight numbers of flights arriving at Airport `` APG '' ? ||| flight_2\n"}
{'SQL:  select flightno from flights where destairport  =  "apg"\n', 'Question 251:  Give the flight numbers of flights landing at APG . ||| flight_2\n'}
{'Question 252:  What are flight numbers of flights departing from City `` Aberdeen `` ? ||| flight_2\n', 'SQL:  select t1.flightno from flights as t1 join airports as t2 on t1.sourceairport   =  t2.airportcode where t2.city  =  "aberdeen"\n'}
{'Question 253:  Give the flight numbers of flights leaving from Aberdeen . ||| flight_2\n', 'SQL:  select t1.flightno from flights as t1 join airports as t2 on t1.sourceairport   =  t2.airportcode where t2.city  =  "aberdeen"\n'}
{'SQL:  select t1.flightno from flights as t1 join airports as t2 on t1.destairport   =  t2.airportcode where t2.city  =  "aberdeen"\n', "Question 254:  What are flight numbers of flights arriving at City `` Aberdeen '' ? ||| flight_2\n"}
{'Question 255:  Give the flight numbers of flights arriving in Aberdeen . ||| flight_2\n', 'SQL:  select t1.flightno from flights as t1 join airports as t2 on t1.destairport   =  t2.airportcode where t2.city  =  "aberdeen"\n'}
{'SQL:  select count(*) from flights as t1 join airports as t2 on t1.destairport  =  t2.airportcode where t2.city  =  "aberdeen" or t2.city  =  "abilene"\n', 'Question 256:  Find the number of flights landing in the city of Aberdeen or Abilene . ||| flight_2\n'}
{'SQL:  select count(*) from flights as t1 join airports as t2 on t1.destairport  =  t2.airportcode where t2.city  =  "aberdeen" or t2.city  =  "abilene"\n', 'Question 257:  How many flights land in Aberdeen or Abilene ? ||| flight_2\n'}
{'Question 258:  Find the name of airports which do not have any flight in and out . ||| flight_2\n', 'SQL:  select airportname from airports where airportcode not in (select sourceairport from flights union select destairport from flights)\n'}
{'SQL:  select airportname from airports where airportcode not in (select sourceairport from flights union select destairport from flights)\n', 'Question 259:  Which airports do not have departing or arriving flights ? ||| flight_2\n'}
{'Question 260:  How many employees are there ? ||| employee_hire_evaluation\n', 'SQL:  select count(*) from employee\n'}
{'Question 261:  Count the number of employees ||| employee_hire_evaluation\n', 'SQL:  select count(*) from employee\n'}
{'SQL:  select name from employee order by age\n', 'Question 262:  Sort employee names by their age in ascending order . ||| employee_hire_evaluation\n'}
{'Question 263:  List the names of employees and sort in ascending order of age . ||| employee_hire_evaluation\n', 'SQL:  select name from employee order by age\n'}
{'Question 264:  What is the number of employees from each city ? ||| employee_hire_evaluation\n', 'SQL:  select count(*) ,  city from employee group by city\n'}
{'SQL:  select count(*) ,  city from employee group by city\n', 'Question 265:  Count the number of employees for each city . ||| employee_hire_evaluation\n'}
{'SQL:  select city from employee where age  <  30 group by city having count(*)  >  1\n', 'Question 266:  Which cities do more than one employee under age 30 come from ? ||| employee_hire_evaluation\n'}
{'Question 267:  Find the cities that have more than one employee under age 30 . ||| employee_hire_evaluation\n', 'SQL:  select city from employee where age  <  30 group by city having count(*)  >  1\n'}
{'SQL:  select count(*) ,  location from shop group by location\n', 'Question 268:  Find the number of shops in each location . ||| employee_hire_evaluation\n'}
{'SQL:  select count(*) ,  location from shop group by location\n', 'Question 269:  How many shops are there in each location ? ||| employee_hire_evaluation\n'}
{'SQL:  select manager_name ,  district from shop order by number_products desc limit 1\n', 'Question 270:  Find the manager name and district of the shop whose number of products is the largest . ||| employee_hire_evaluation\n'}
{'Question 271:  What are the manager name and district of the shop that sells the largest number of products ? ||| employee_hire_evaluation\n', 'SQL:  select manager_name ,  district from shop order by number_products desc limit 1\n'}
{'Question 272:  find the minimum and maximum number of products of all stores . ||| employee_hire_evaluation\n', 'SQL:  select min(number_products) ,  max(number_products) from shop\n'}
{'SQL:  select min(number_products) ,  max(number_products) from shop\n', 'Question 273:  What are the minimum and maximum number of products across all the shops ? ||| employee_hire_evaluation\n'}
{'Question 274:  Return the name , location and district of all shops in descending order of number of products . ||| employee_hire_evaluation\n', 'SQL:  select name ,  location ,  district from shop order by number_products desc\n'}
{'SQL:  select name ,  location ,  district from shop order by number_products desc\n', 'Question 275:  Sort all the shops by number products in descending order , and return the name , location and district of each shop . ||| employee_hire_evaluation\n'}
{'Question 276:  Find the names of stores whose number products is more than the average number of products . ||| employee_hire_evaluation\n', 'SQL:  select name from shop where number_products  >  (select avg(number_products) from shop)\n'}
{"Question 277:  Which shops ' number products is above the average ? Give me the shop names . ||| employee_hire_evaluation\n", 'SQL:  select name from shop where number_products  >  (select avg(number_products) from shop)\n'}
{'SQL:  select t1.name from employee as t1 join evaluation as t2 on t1.employee_id  =  t2.employee_id group by t2.employee_id order by count(*) desc limit 1\n', 'Question 278:  find the name of employee who was awarded the most times in the evaluation . ||| employee_hire_evaluation\n'}
{'SQL:  select t1.name from employee as t1 join evaluation as t2 on t1.employee_id  =  t2.employee_id group by t2.employee_id order by count(*) desc limit 1\n', 'Question 279:  Which employee received the most awards in evaluations ? Give me the employee name . ||| employee_hire_evaluation\n'}
{'SQL:  select t1.name from employee as t1 join evaluation as t2 on t1.employee_id  =  t2.employee_id order by t2.bonus desc limit 1\n', 'Question 280:  Find the name of the employee who got the highest one time bonus . ||| employee_hire_evaluation\n'}
{'SQL:  select t1.name from employee as t1 join evaluation as t2 on t1.employee_id  =  t2.employee_id order by t2.bonus desc limit 1\n', 'Question 281:  Which employee received the biggest bonus ? Give me the employee name . ||| employee_hire_evaluation\n'}
{'SQL:  select name from employee where employee_id not in (select employee_id from evaluation)\n', 'Question 282:  Find the names of employees who never won any award in the evaluation . ||| employee_hire_evaluation\n'}
{'Question 283:  What are the names of the employees who never received any evaluation ? ||| employee_hire_evaluation\n', 'SQL:  select name from employee where employee_id not in (select employee_id from evaluation)\n'}
{'Question 284:  What is the name of the shop that is hiring the largest number of employees ? ||| employee_hire_evaluation\n', 'SQL:  select t2.name from hiring as t1 join shop as t2 on t1.shop_id  =  t2.shop_id group by t1.shop_id order by count(*) desc limit 1\n'}
{'SQL:  select t2.name from hiring as t1 join shop as t2 on t1.shop_id  =  t2.shop_id group by t1.shop_id order by count(*) desc limit 1\n', 'Question 285:  Which shop has the most employees ? Give me the shop name . ||| employee_hire_evaluation\n'}
{'SQL:  select name from shop where shop_id not in (select shop_id from hiring)\n', 'Question 286:  Find the name of the shops that do not hire any employee . ||| employee_hire_evaluation\n'}
{'SQL:  select name from shop where shop_id not in (select shop_id from hiring)\n', 'Question 287:  Which shops run with no employees ? Find the shop names ||| employee_hire_evaluation\n'}
{'Question 288:  Find the number of employees hired in each shop ; show the shop name as well . ||| employee_hire_evaluation\n', 'SQL:  select count(*) ,  t2.name from hiring as t1 join shop as t2 on t1.shop_id  =  t2.shop_id group by t2.name\n'}
{'Question 289:  For each shop , return the number of employees working there and the name of the shop . ||| employee_hire_evaluation\n', 'SQL:  select count(*) ,  t2.name from hiring as t1 join shop as t2 on t1.shop_id  =  t2.shop_id group by t2.name\n'}
{'Question 290:  What is total bonus given in all evaluations ? ||| employee_hire_evaluation\n', 'SQL:  select sum(bonus) from evaluation\n'}
{'Question 291:  Find the total amount of bonus given in all the evaluations . ||| employee_hire_evaluation\n', 'SQL:  select sum(bonus) from evaluation\n'}
{'Question 292:  Give me all the information about hiring . ||| employee_hire_evaluation\n', 'SQL:  select * from hiring\n'}
{'SQL:  select * from hiring\n', 'Question 293:  What is all the information about hiring ? ||| employee_hire_evaluation\n'}
{'SQL:  select district from shop where number_products  <  3000 intersect select district from shop where number_products  >  10000\n', 'Question 294:  Which district has both stores with less than 3000 products and stores with more than 10000 products ? ||| employee_hire_evaluation\n'}
{'SQL:  select district from shop where number_products  <  3000 intersect select district from shop where number_products  >  10000\n', 'Question 295:  Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products . ||| employee_hire_evaluation\n'}
{'Question 296:  How many different store locations are there ? ||| employee_hire_evaluation\n', 'SQL:  select count(distinct location) from shop\n'}
{'SQL:  select count(distinct location) from shop\n', 'Question 297:  Count the number of distinct store locations . ||| employee_hire_evaluation\n'}
{'SQL:  select count(*) from documents\n', 'Question 298:  How many documents do we have ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select count(*) from documents\n', 'Question 299:  Count the number of documents . ||| cre_Doc_Template_Mgt\n'}
{'Question 300:  List document IDs , document names , and document descriptions for all documents . ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id ,  document_name ,  document_description from documents\n'}
{'Question 301:  What are the ids , names , and descriptions for all documents ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id ,  document_name ,  document_description from documents\n'}
{'SQL:  select document_name ,  template_id from documents where document_description like "%w%"\n', "Question 302:  What is the document name and template id for document with description with the letter 'w ' in it ? ||| cre_Doc_Template_Mgt\n"}
{'SQL:  select document_name ,  template_id from documents where document_description like "%w%"\n', 'Question 303:  Return the names and template ids for documents that contain the letter w in their description . ||| cre_Doc_Template_Mgt\n'}
{"Question 304:  What is the document id , template id and description for document named `` Robbin CV '' ? ||| cre_Doc_Template_Mgt\n", 'SQL:  select document_id ,  template_id ,  document_description from documents where document_name  =  "robbin cv"\n'}
{'Question 305:  Return the document id , template id , and description for the document with the name Robbin CV . ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id ,  template_id ,  document_description from documents where document_name  =  "robbin cv"\n'}
{'SQL:  select count(distinct template_id) from documents\n', 'Question 306:  How many different templates do all document use ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select count(distinct template_id) from documents\n', 'Question 307:  Count the number of different templates used for documents . ||| cre_Doc_Template_Mgt\n'}
{"SQL:  select count(*) from documents as t1 join templates as t2 on t1.template_id  =  t2.template_id where t2.template_type_code  =  'ppt'\n", "Question 308:  How many documents are using the template with type code 'PPT ' ? ||| cre_Doc_Template_Mgt\n"}
{'Question 309:  Count the number of documents that use the PPT template type . ||| cre_Doc_Template_Mgt\n', "SQL:  select count(*) from documents as t1 join templates as t2 on t1.template_id  =  t2.template_id where t2.template_type_code  =  'ppt'\n"}
{'SQL:  select template_id ,  count(*) from documents group by template_id\n', 'Question 310:  Show all template ids and number of documents using each template . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id ,  count(*) from documents group by template_id\n', 'Question 311:  What are all different template ids used for documents , and how many times were each of them used ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.template_id ,  t2.template_type_code from documents as t1 join templates as t2 on t1.template_id  =  t2.template_id group by t1.template_id order by count(*) desc limit 1\n', 'Question 312:  What is the id and type code for the template used by the most documents ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.template_id ,  t2.template_type_code from documents as t1 join templates as t2 on t1.template_id  =  t2.template_id group by t1.template_id order by count(*) desc limit 1\n', 'Question 313:  Return the id and type code of the template that is used for the greatest number of documents . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id from documents group by template_id having count(*)  >  1\n', 'Question 314:  Show ids for all templates that are used by more than one document . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id from documents group by template_id having count(*)  >  1\n', 'Question 315:  What are the template ids of any templates used in more than a single document ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id from templates except select template_id from documents\n', 'Question 316:  Show ids for all templates not used by any document . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id from templates except select template_id from documents\n', 'Question 317:  What are the ids for templates that are not used in any documents ? ||| cre_Doc_Template_Mgt\n'}
{'Question 318:  How many templates do we have ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select count(*) from templates\n'}
{'SQL:  select count(*) from templates\n', 'Question 319:  Count the number of templates . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id ,  version_number ,  template_type_code from templates\n', 'Question 320:  Show template ids , version numbers , and template type codes for all templates . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select template_id ,  version_number ,  template_type_code from templates\n', 'Question 321:  What are the ids , version numbers , and type codes for each template ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select distinct template_type_code from templates\n', 'Question 322:  Show all distinct template type codes for all templates . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select distinct template_type_code from templates\n', 'Question 323:  What are the different template type codes ? ||| cre_Doc_Template_Mgt\n'}
{'Question 324:  What are the ids of templates with template type code PP or PPT ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_id from templates where template_type_code  =  "pp" or template_type_code  =  "ppt"\n'}
{'Question 325:  Return the ids of templates that have the code PP or PPT . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_id from templates where template_type_code  =  "pp" or template_type_code  =  "ppt"\n'}
{'Question 326:  How many templates have template type code CV ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select count(*) from templates where template_type_code  =  "cv"\n'}
{'SQL:  select count(*) from templates where template_type_code  =  "cv"\n', 'Question 327:  Count the number of templates of the type CV . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select version_number ,  template_type_code from templates where version_number  >  5\n', 'Question 328:  What is the version number and template type code for the template with version number later than 5 ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select version_number ,  template_type_code from templates where version_number  >  5\n', 'Question 329:  Return the version numbers and template type codes of templates with a version number greater than 5 . ||| cre_Doc_Template_Mgt\n'}
{'Question 330:  Show all template type codes and number of templates for each . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code ,  count(*) from templates group by template_type_code\n'}
{'SQL:  select template_type_code ,  count(*) from templates group by template_type_code\n', 'Question 331:  What are the different template type codes , and how many templates correspond to each ? ||| cre_Doc_Template_Mgt\n'}
{'Question 332:  Which template type code has most number of templates ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates group by template_type_code order by count(*) desc limit 1\n'}
{'Question 333:  Return the type code of the template type that the most templates belong to . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates group by template_type_code order by count(*) desc limit 1\n'}
{'Question 334:  Show all template type codes with less than three templates . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates group by template_type_code having count(*)  <  3\n'}
{'Question 335:  What are the codes of template types that have fewer than 3 templates ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates group by template_type_code having count(*)  <  3\n'}
{'Question 336:  What the smallest version number and its template type code ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select min(version_number) ,  template_type_code from templates\n'}
{'Question 337:  Return the lowest version number , along with its corresponding template type code . ||| cre_Doc_Template_Mgt\n', 'SQL:  select min(version_number) ,  template_type_code from templates\n'}
{'SQL:  select t1.template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id where t2.document_name  =  "data base"\n', "Question 338:  What is the template type code of the template used by document with the name `` Data base '' ? ||| cre_Doc_Template_Mgt\n"}
{'Question 339:  Return the template type code of the template that is used by a document named Data base . ||| cre_Doc_Template_Mgt\n', 'SQL:  select t1.template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id where t2.document_name  =  "data base"\n'}
{'Question 340:  Show all document names using templates with template type code BK . ||| cre_Doc_Template_Mgt\n', 'SQL:  select t2.document_name from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id where t1.template_type_code  =  "bk"\n'}
{'SQL:  select t2.document_name from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id where t1.template_type_code  =  "bk"\n', 'Question 341:  What are the names of documents that use templates with the code BK ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.template_type_code ,  count(*) from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id group by t1.template_type_code\n', 'Question 342:  Show all template type codes and the number of documents using each type . ||| cre_Doc_Template_Mgt\n'}
{'Question 343:  What are the different template type codes , and how many documents use each type ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select t1.template_type_code ,  count(*) from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id group by t1.template_type_code\n'}
{'Question 344:  Which template type code is used by most number of documents ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select t1.template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id group by t1.template_type_code order by count(*) desc limit 1\n'}
{'Question 345:  Return the code of the template type that is most commonly used in documents . ||| cre_Doc_Template_Mgt\n', 'SQL:  select t1.template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id group by t1.template_type_code order by count(*) desc limit 1\n'}
{'Question 346:  Show all template type codes that are not used by any document . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates except select template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id\n'}
{'Question 347:  What are the codes of template types that are not used for any document ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code from templates except select template_type_code from templates as t1 join documents as t2 on t1.template_id  =  t2.template_id\n'}
{'Question 348:  Show all template type codes and descriptions . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code ,  template_type_description from ref_template_types\n'}
{'Question 349:  What are the type codes and descriptions for all template types ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_code ,  template_type_description from ref_template_types\n'}
{'SQL:  select template_type_description from ref_template_types where template_type_code  =  "ad"\n', "Question 350:  What is the template type descriptions for template type code `` AD '' . ||| cre_Doc_Template_Mgt\n"}
{'Question 351:  Return the template type description of the template type with the code AD . ||| cre_Doc_Template_Mgt\n', 'SQL:  select template_type_description from ref_template_types where template_type_code  =  "ad"\n'}
{'SQL:  select template_type_code from ref_template_types where template_type_description  =  "book"\n', "Question 352:  What is the template type code for template type description `` Book '' . ||| cre_Doc_Template_Mgt\n"}
{'SQL:  select template_type_code from ref_template_types where template_type_description  =  "book"\n', "Question 353:  Return the type code of the template type with the description `` Book '' . ||| cre_Doc_Template_Mgt\n"}
{'SQL:  select distinct t1.template_type_description from ref_template_types as t1 join templates as t2 on t1.template_type_code  = t2.template_type_code join documents as t3 on t2.template_id  =  t3.template_id\n', 'Question 354:  What are the distinct template type descriptions for the templates ever used by any document ? ||| cre_Doc_Template_Mgt\n'}
{'Question 355:  Return the different descriptions for templates that have been used in a document . ||| cre_Doc_Template_Mgt\n', 'SQL:  select distinct t1.template_type_description from ref_template_types as t1 join templates as t2 on t1.template_type_code  = t2.template_type_code join documents as t3 on t2.template_id  =  t3.template_id\n'}
{"Question 356:  What are the template ids with template type description `` Presentation '' . ||| cre_Doc_Template_Mgt\n", 'SQL:  select t2.template_id from ref_template_types as t1 join templates as t2 on t1.template_type_code  = t2.template_type_code where t1.template_type_description  =  "presentation"\n'}
{'SQL:  select t2.template_id from ref_template_types as t1 join templates as t2 on t1.template_type_code  = t2.template_type_code where t1.template_type_description  =  "presentation"\n', "Question 357:  Return the ids corresponding to templates with the description 'Presentation ' . ||| cre_Doc_Template_Mgt\n"}
{'Question 358:  How many paragraphs in total ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select count(*) from paragraphs\n'}
{'Question 359:  Count the number of paragraphs . ||| cre_Doc_Template_Mgt\n', 'SQL:  select count(*) from paragraphs\n'}
{"SQL:  select count(*) from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  'summer show'\n", "Question 360:  How many paragraphs for the document with name 'Summer Show ' ? ||| cre_Doc_Template_Mgt\n"}
{"SQL:  select count(*) from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  'summer show'\n", "Question 361:  Count the number of paragraphs in the document named 'Summer Show ' . ||| cre_Doc_Template_Mgt\n"}
{"Question 362:  Show paragraph details for paragraph with text 'Korea ' . ||| cre_Doc_Template_Mgt\n", "SQL:  select other_details from paragraphs where paragraph_text like 'korea'\n"}
{"Question 363:  What are the details for the paragraph that includes the text 'Korea ' ? ||| cre_Doc_Template_Mgt\n", "SQL:  select other_details from paragraphs where paragraph_text like 'korea'\n"}
{"SQL:  select t1.paragraph_id ,   t1.paragraph_text from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  'welcome to ny'\n", "Question 364:  Show all paragraph ids and texts for the document with name 'Welcome to NY ' . ||| cre_Doc_Template_Mgt\n"}
{"Question 365:  What are the ids and texts of paragraphs in the document titled 'Welcome to NY ' ? ||| cre_Doc_Template_Mgt\n", "SQL:  select t1.paragraph_id ,   t1.paragraph_text from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  'welcome to ny'\n"}
{'SQL:  select t1.paragraph_text from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  "customer reviews"\n', "Question 366:  Show all paragraph texts for the document `` Customer reviews '' . ||| cre_Doc_Template_Mgt\n"}
{"Question 367:  What are the paragraph texts for the document with the name 'Customer reviews ' ? ||| cre_Doc_Template_Mgt\n", 'SQL:  select t1.paragraph_text from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id where t2.document_name  =  "customer reviews"\n'}
{'Question 368:  Show all document ids and the number of paragraphs in each document . Order by document id . ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id ,  count(*) from paragraphs group by document_id order by document_id\n'}
{'SQL:  select document_id ,  count(*) from paragraphs group by document_id order by document_id\n', 'Question 369:  Return the different document ids along with the number of paragraphs corresponding to each , ordered by id . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.document_id ,  t2.document_name ,  count(*) from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id group by t1.document_id\n', 'Question 370:  Show all document ids , names and the number of paragraphs in each document . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.document_id ,  t2.document_name ,  count(*) from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id group by t1.document_id\n', 'Question 371:  What are the ids and names of each document , as well as the number of paragraphs in each ? ||| cre_Doc_Template_Mgt\n'}
{'Question 372:  List all document ids with at least two paragraphs . ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id from paragraphs group by document_id having count(*)  >=  2\n'}
{'Question 373:  What are the ids of documents that have 2 or more paragraphs ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id from paragraphs group by document_id having count(*)  >=  2\n'}
{'SQL:  select t1.document_id ,  t2.document_name from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id group by t1.document_id order by count(*) desc limit 1\n', 'Question 374:  What is the document id and name with greatest number of paragraphs ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select t1.document_id ,  t2.document_name from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id group by t1.document_id order by count(*) desc limit 1\n', 'Question 375:  Return the id and name of the document with the most paragraphs . ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select document_id from paragraphs group by document_id order by count(*) asc limit 1\n', 'Question 376:  What is the document id with least number of paragraphs ? ||| cre_Doc_Template_Mgt\n'}
{'SQL:  select document_id from paragraphs group by document_id order by count(*) asc limit 1\n', 'Question 377:  Return the id of the document with the fewest paragraphs . ||| cre_Doc_Template_Mgt\n'}
{'Question 378:  What is the document id with 1 to 2 paragraphs ? ||| cre_Doc_Template_Mgt\n', 'SQL:  select document_id from paragraphs group by document_id having count(*) between 1 and 2\n'}
{'SQL:  select document_id from paragraphs group by document_id having count(*) between 1 and 2\n', 'Question 379:  Give the ids of documents that have between one and two paragraphs . ||| cre_Doc_Template_Mgt\n'}
{"Question 380:  Show the document id with paragraph text 'Brazil ' and 'Ireland ' . ||| cre_Doc_Template_Mgt\n", "SQL:  select document_id from paragraphs where paragraph_text  =  'brazil' intersect select document_id from paragraphs where paragraph_text  =  'ireland'\n"}
{"Question 381:  What are the ids of documents that contain the paragraph text 'Brazil ' and 'Ireland ' ? ||| cre_Doc_Template_Mgt\n", "SQL:  select document_id from paragraphs where paragraph_text  =  'brazil' intersect select document_id from paragraphs where paragraph_text  =  'ireland'\n"}
{'SQL:  select count(*) from teacher\n', 'Question 382:  How many teachers are there ? ||| course_teach\n'}
{'SQL:  select count(*) from teacher\n', 'Question 383:  What is the total count of teachers ? ||| course_teach\n'}
{'Question 384:  List the names of teachers in ascending order of age . ||| course_teach\n', 'SQL:  select name from teacher order by age asc\n'}
{'SQL:  select name from teacher order by age asc\n', 'Question 385:  What are the names of the teachers ordered by ascending age ? ||| course_teach\n'}
{'SQL:  select age ,  hometown from teacher\n', 'Question 386:  What are the age and hometown of teachers ? ||| course_teach\n'}
{'SQL:  select age ,  hometown from teacher\n', 'Question 387:  What is the age and hometown of every teacher ? ||| course_teach\n'}
